"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
32499,206,"SVN","Slovenia",1,"Gorenjska",14,"Tržic","","","Opcine","Commune|Municipality"
32500,206,"SVN","Slovenia",1,"Gorenjska",15,"Železniki","","","Opcine","Commune|Municipality"
32501,206,"SVN","Slovenia",1,"Gorenjska",16,"Žiri","","","Opcine","Commune|Municipality"
32502,206,"SVN","Slovenia",1,"Gorenjska",17,"Žirovnica","","","Opcine","Commune|Municipality"
32503,206,"SVN","Slovenia",2,"Goriška",18,"Ajdovšcina","","","Opcine","Commune|Municipality"
32504,206,"SVN","Slovenia",2,"Goriška",19,"Bovec","","","Opcine","Commune|Municipality"
32505,206,"SVN","Slovenia",2,"Goriška",20,"Brda","","","Opcine","Commune|Municipality"
32506,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",42,"Škocjan","","","Opcine","Commune|Municipality"
32507,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",43,"Sodražica","","","Opcine","Commune|Municipality"
32508,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",44,"Trebnje","","","Opcine","Commune|Municipality"
32509,206,"SVN","Slovenia",3,"Jugovzhodna Slovenija",45,"Žužemberk","","","Opcine","Commune|Municipality"
32510,206,"SVN","Slovenia",4,"Koroška",46,"Crna na Koroškem","","","Opcine","Commune|Municipality"
32511,206,"SVN","Slovenia",4,"Koroška",47,"Dravograd","","","Opcine","Commune|Municipality"
32512,206,"SVN","Slovenia",4,"Koroška",48,"Mežica","","","Opcine","Commune|Municipality"
32513,206,"SVN","Slovenia",4,"Koroška",49,"Mislinja","","","Opcine","Commune|Municipality"
32514,206,"SVN","Slovenia",4,"Koroška",50,"Muta","","","Opcine","Commune|Municipality"
32515,206,"SVN","Slovenia",4,"Koroška",51,"Podvelka","","","Opcine","Commune|Municipality"
32516,206,"SVN","Slovenia",4,"Koroška",52,"Prevalje","","","Opcine","Commune|Municipality"
